cell_type,BTC_0004,BTC_0009,BTC_0010,BTC_0011,BTC_0012,BTC_0013,BTC_0014,BTC_0015,BTC_0016,BTC_0017,BTC_0018,BTC_0019,BTC_0020,BTC_0022,BTC_0023,BTC_0024,BTC_0025,BTC_0026,BTC_0028,BTC_0029,BTC_0030,BTC_0032,BTC_0033,BTC_0034,BTC_0035,BTC_0036,BTC_0037,BTC_0038,BTC_0039,BTC_0040,BTC_0042,BTC_0045,BTC_8002
Macrophage M1_CIBERSORT,0.0878578734346029,0.00283251923703444,0.0073091462346937,0.220012578495102,0,0,0.0557885211843527,0,0.00420085957172038,0.0124377829930994,0.0499330374253372,0.0283566037697567,0,0.00173321767904164,0.279252805707134,0.0203537259852578,0.148358277603034,0.22137625964363,0.0192695491582163,0,0.136903753232734,0.132054344709163,0.130683785306647,0.0304046225006964,0.0197551905507904,0.0232988366436448,0,0.0304625227344878,0,0.0577941771037028,0.0389030669150285,0.00825098263620943,0.00131206025989405
Macrophage M2_CIBERSORT,0.164935254402068,0.00701142599304403,0.241638518493644,0.0792161291433808,0,0.117836275155007,0.0373562645383907,0.0981917408260802,0,0.0607517377686583,0.380377881179137,0,0.196368873650322,0,0.0913483923414532,0.406752532132003,0.374284915773077,0.128594164977666,0.279578218952927,0.0639664174051995,0.293821022617218,0.10504489925711,0.0538471466867525,0.217277267745819,0.280101345739597,0.0378326255545912,0.155306115180323,0.460273841479636,0.124663242180936,0.299407607050059,0.335079503857218,0.0876344989519711,0.0763133143575461
Myeloid dendritic cell resting_CIBERSORT,0,0,0,0,0,0,0.109513443985889,0,0,0,0,0,0,0,0.0219728152569798,0,0,0.0210328355387766,0.00633650123390219,0,0,0.00206716177409201,0.00464863944376336,0,0,0,0,0.0310028416380118,0,0.0508679987071188,0.0607551211779284,0.0652384026112407,0.00119422218293771
Myeloid dendritic cell activated_CIBERSORT,0,0.0163703869948246,0,0.0197951138143086,0.020420157066243,0.0525341274624383,0,0,0,0.0261464897128871,0.00172373971572011,0.151172233412177,0,0,0,0.0657809492703356,0,0,0.0140698845247123,0,0,0,0,0.00720947919644254,0.133776804502264,0.000787015961016903,0,0,0.0289942679143511,0.00381907194004268,0.00485989849059029,0.0714180052403616,0
Mast cell activated_CIBERSORT,0,0,0.0753173566072085,0,0,0,0.12658787234612,0,0,0.0889728301054307,0.00837570141184413,0.0913721769677806,0,0,0,0,0,0.00139367308030219,0,0,0.0557121860403709,0.0346212937561788,0.0741914469713517,0.016223057153873,0,0.0490800702362834,0,0,0,0,0,0,0.36891513886911
Mast cell resting_CIBERSORT,0.268269049798285,0.0380451761342042,0,0.00161493928584785,0.0674602142260996,0.0795494462652513,0,0.0578526273576481,0,0,0,0,0.152199202706018,0.201456795673032,0.0163990470959551,0,0.0226155137922878,0,0.0431608928895048,0,0,0,0,0,0.0846034216258926,0,0.00514183648432315,0,0.0817037183218434,0.0345858592830685,0,0.122273763860009,0
Eosinophil_CIBERSORT,0,0.224577233084595,0.119321115598557,0,0.0781937276141851,0.0678804646743044,0.0177857262294758,0.0549322417815566,0.0752843062434063,0,0,0.0839376878142859,0,0,0,0,0,0.0100328131938213,0.0240700532268197,0.142181948140502,0.0388212370327668,0.0705631029351277,0.0129168317828912,0,0.00982036764832213,0.10876827977468,0.0877042311003225,0,0.185767122148175,0,0.0287590362721963,0.0169335466205248,0.0825942100977118
Neutrophil_CIBERSORT,0.0131544076814244,0,0.137273312468549,0.0755441708087651,0.016100203834811,0.0405717966713704,0.00443796326929496,0,0,0.0622688662047014,0.0296678908222818,0.00300261437256433,0.00694563941380554,0,0,0.0918891390354212,0.0587641531044201,0.0289927995647567,0.0198046569000242,0.0871016134936019,0,0,0,0.0640260064315456,0.0524434930290557,0.090027587948496,0,0.00918399921395756,0.0342785101861297,0.0335718165044019,0.0506062934545213,0,0
B cell naive_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0,0,0,0.000720968248816459,0,0.00259804297038632,0,0,0,0.00832654145966599,0,0,1.24941654044455,0.00199085454208131,0,0,0,0.0316898330854815,0,0,0,0,0,0
B cell memory_CIBERSORT-ABS,0.0274867896448562,0.0667809446454705,0.00638322238566057,0.40587049131369,0.0698341399606039,0.082393053759305,0,0.00807634501605126,0.00750325895033437,0.147089443338223,0.0342074073688252,0.00465784285057628,0,0,0.171093305937344,0.183252589495453,0.0657904100478882,0.0867123238149431,0.180047374729593,0.0691788327380485,0.00871537083808875,0.528520089984008,0.0345643554877663,0.250888834896772,0.0911109832863691,0.114746074107094,0.0962186155784995,0.0890027535234262,0.119058427567209,0.113657914870065,0.0505794323408784,0,0.00187494195054166
