sampleName Signature.1 Signature.2 Signature.3 Signature.4 Signature.5 Signature.6 Signature.7a Signature.7b Signature.7c Signature.7d Signature.8 Signature.9 Signature.10a Signature.10b Signature.10c Signature.10d Signature.11 Signature.12 Signature.13 Signature.14 Signature.15 Signature.16 Signature.17a Signature.17b Signature.18 Signature.19 Signature.20 Signature.21 Signature.22 Signature.23 Signature.24 Signature.25 Signature.26 Signature.27 Signature.28 Signature.29 Signature.30 Signature.31 Signature.32 Signature.33 Signature.34 Signature.35 Signature.36 Signature.37 Signature.38 Signature.39 Signature.40 Signature.41 Signature.42 Signature.43 Signature.44 Signature.45 Signature.46 Signature.47 Signature.48 Signature.49 Signature.50 Signature.51 Signature.52 Signature.53 Signature.54 Signature.55 Signature.56 Signature.57 Signature.58 Signature.59 Signature.60 Signature.84 Signature.85 Signature.86 Signature.87 Signature.88 Signature.89 Signature.90 Signature.91 Signature.92 Signature.93 Signature.94 Residuals AbsResiduals RSS N.Mutations
BTC_0010_Lv_P_526_SBS 359.887198969694 24.0217642432641 0 0 0 0 0 0 0 0 44.5169362887686 0 0 0 0 0 0 0 2.93816142980891 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 106.043608072508 0 0 0 0 0 2710.63892506956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 174.953405926394 1015.78521190838 18335.053683201 3423
BTC_0039_Lv_M_526_SBS 1041.38711167312 239.844245501752 0 0 0 0 0 0 0 0 2637.30338735442 0 0 301.578812391692 0 0 0 0 428.693218139901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 985.066500254778 0 0 0 335.056317762884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1462.07040692146 2845.07017067296 141421.914890301 7431
BTC_9002_Lv_P_526_SBS 369.87353431982 0 0 0 0 0 0 0 0 0 852.083833882316 0 0 0 0 0 0 0 0 0 0 702.233629848743 0 0 235.59018840897 0 0 360.03789016707 0 0 0 0 0 0 0 0 571.243638070687 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 536.937285302394 1117.64768177305 20728.1493119029 3628
BTC_9018_Lv_P_526_SBS 790.107019671652 93.301559453943 0 0 2904.40978314303 0 0 0 0 0 2204.06730741407 1278.33751215206 0 0 0 188.554988150247 0 0 207.209263089763 0 448.731125286995 1954.21060087487 0 290.184570783516 0 0 0 0 0 0 0 0 1158.74394837599 0 0 0 0 0 0 0 0 0 0 1545.9470223728 0 859.301222805643 0 2573.87799393841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1858.62493852328 0 1881.23398442868 0 0 0 0 0 855.157159535038 4668.12568822522 377735.309298198 21092
BTC_0028_Lv_P_526_SBS 301.664651176109 53.0581385888204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 930.506274956876 0 0 0 0 0 249.049420879353 0 0 0 0 0 437.862160320265 0 0 0 169.244668192571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 710.614685886005 1136.2957798536 25291.4594450797 2852
BTC_9020_Bd_P_526_SBS 532.218612267511 99.8444431615986 0 0 0 0 0 0 0 0 825.77000086155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 383.448011711334 0 0 0 0 0 0 545.628823425144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 194.090108572862 787.515674860524 11851.4852138179 2581
BTC_9012_Lv_P_526_SBS 291.174306601375 52.0581237502547 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 563.476842634576 0 0 0 0 0 296.356515028901 0 0 0 0 0 0 0 0 785.083347563305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1301.85086442159 1724.75226174795 48648.0751063187 3290
BTC_0017_Lv_P_526_SBS 610.309262982165 163.568503473908 0 0 1853.06878510169 0 0 0 0 0 551.663225354591 0 0 0 0 0 0 0 220.968787993861 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 194.191804872824 0 429.18638618288 0 238.126111142451 0 0 0 0 0 1764.64988900462 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -77.7327561089874 1030.46710207654 20411.714923739 5948
BTC_9015_Lv_P_526_SBS 857.659507476152 92.97234073077 0 0 0 0 0 0 0 0 1337.40337968002 0 0 0 0 0 0 0 0 0 0 571.035527714458 0 0 0 228.905169877698 0 453.428234172847 0 0 0 0 0 0 0 0 835.521908646254 0 0 0 238.34108465099 0 0 773.577025672807 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27.79586195894 0 0 0 0 256.359959419059 1698.52668485035 67904.1264899804 5673
BTC_0035_Lv_M_526_SBS 677.650747673963 221.819242342061 0 0 0 0 0 0 0 0 917.823954998481 0 0 0 0 0 0 0 99.6323120445989 0 0 0 0 0 1476.23095894745 0 0 0 0 0 0 0 666.220174210287 0 0 0 0 0 957.933087678953 0 205.119840353226 0 0 474.853034367234 0 0 0 904.549750143771 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 361.166897239972 1767.04837628163 64349.0595255966 6963
BTC_0021_Gb_P_526_SBS 1023.91325225735 937.509491517055 0 0 0 0 0 0 0 0 1053.41069221666 0 0 171.477648659222 0 0 0 0 1249.54249443669 0 0 0 920.57909554358 777.909152165214 0 796.661325086736 1083.29039937819 264.506626434665 0 0 1093.57829636993 0 0 0 0 0 0 5000.05396597538 0 0 0 4297.88977806438 0 0 0 0 0 1003.44513580179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 663.885891211141 679.827461995084 0 0 0 0 0 0 0 0 -8.48070711307323 2789.36566628765 181697.237645571 21009
BTC_9013_Lv_P_526_SBS 675.459009582632 0 0 0 0 0 0 0 0 0 764.850871238085 0 0 0 0 0 0 0 0 0 0 532.82920440579 0 0 844.882837082314 0 0 381.066662108895 0 0 0 0 0 0 0 0 671.806144980979 0 0 0 178.870433106498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 531.234837494806 1196.71469516504 24925.9974989384 4581
BTC_0040_Lv_P_526_SBS 388.399767230984 110.207146909533 0 0 0 0 0 0 0 0 962.55846450906 0 0 0 0 0 0 0 0 0 0 320.107029721531 0 0 2591.98146804926 0 0 0 0 0 0 0 0 0 0 0 513.756624235248 0 0 0 0 0 0 758.031138877103 0 0 0 0 0 0 810.1971043139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 289.761256153377 1496.41474824413 49343.524290204 6745
BTC_9014_Lv_P_526_SBS 410.602283000834 123.573073601248 0 0 0 0 0 0 0 0 1386.04734444501 0 0 0 0 0 0 0 136.674392881145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 637.653967585515 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 819.448938486245 1530.84377658099 44524.9198012249 3514
BTC_0029_Lv_M_526_SBS 390.28623394897 147.129427503607 0 0 0 0 0 0 0 0 476.419169085952 0 0 0 0 0 0 0 17.5282452726104 0 0 248.843527567525 0 18.2991595451702 686.770973684277 0 0 0 0 0 0 0 0 0 0 0 417.410699485868 0 0 0 146.122305211031 0 0 0 0 0 3326.11237953469 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110.328474139559 0 0 0 0 180.749405020738 1183.2092260348 26620.518319413 6166
BTC_8002_Lv_M_526_SBS 340.045821579975 430.705645248302 0 0 0 0 0 0 0 0 2507.85116925471 0 0 0 0 0 0 0 0 0 0 0 5248.66809993767 7694.57873186901 0 0 0 0 0 0 0 0 3204.05111186414 0 11187.8692731011 0 1154.30884644153 435.671903208417 0 0 0 0 0 1452.48399438659 0 0 0 3043.97627544652 0 0 1107.60765474351 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1509.98607393988 0 0 0 0 0 0 0 0 0 343.195398978614 7644.86786324542 1595456.71544465 39661
BTC_0015_Lv_P_526_SBS 1845.36377933859 919.615865481063 0 0 0 0 0 0 0 0 0 0 321.252308777295 0 0 0 0 0 1256.57869421977 0 515.776196597871 0 0 298.073871246759 2197.90030244537 0 0 0 0 0 0 0 814.4439034938 0 0 0 655.670542374516 0 0 0 142.702519201762 0 0 0 0 0 0 1172.6462686082 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 292.197970367377 0 0 0 0 481.777777847626 1613.03633838504 49447.3893193422 10914
BTC_9009_Lv_P_526_SBS 1070.84423414721 82.1495377305137 0 0 0 0 0 0 0 0 1482.77499793217 0 0 200.168528350524 0 0 0 0 252.784467510509 0 545.197131735388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 632.721208735708 0 333.374224871051 0 23.1564033498225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 815.801508625168 0 0 0 0 0 0 0 0 0 656.027757011933 1797.80955688743 65947.292998445 6095
